,79.78,9052,-192,11372
245085,5.59,8324,-228,11448
245097,5.14,8300,-452,12308
245109,5.59,8132,40,11236
245121,5.59,7924,-260,12684
245133,5.59,7868,-412,12668
245145,5.59,8292,-76,10952
245157,5.59,8420,-412,11824
245169,5.59,8152,-288,11932
245181,5.59,7784,40,11624
245193,5.59,7940,-368,12948
245205,5.59,8108,-240,12024
245217,5.59,8252,-148,11060
245229,5.59,8404,-436,12064
245241,5.59,8100,-100,11888
245253,5.59,7828,-100,12008
245265,5.59,7816,-484,12892
245277,5.59,8144,-32,11344
245289,5.59,8408,-188,11536
245301,5.59,8100,-464,12248
245313,5.59,8000,-88,11832
245325,5.59,8004,-256,12388
245337,5.59,8108,-336,12324
245349,5.59,8172,-224,11136
245361,5.59,8284,-356,11692
245373,5.59,8368,-184,12136
245385,5.59,7832,-80,11876
245397,5.18,7972,-368,12668
245409,5.59,8188,-244,12044
245421,5.59,8180,-236,11172
245433,5.59,8108,-472,11956
245445,5.59,8064,-280,12044
245457,5.59,7876,-108,11860
245469,5.59,7932,-356,12328
245481,5.59,8068,-272,11496
245493,5.59,8360,-220,11516
245505,5.59,8156,-404,12024
245517,5.59,7920,-120,12016
245529,5.59,8008,-96,12128
245541,5.59,8068,-412,12184
245553,5.59,8144,-264,11288
245565,5.59,8276,-220,11744
245577,5.59,8232,-300,12040
245589,5.18,7780,-140,12000
245601,5.18,7932,-292,12384
245613,5.59,8200,-352,11912
245625,5.59,8264,-188,11228
245637,5.59,8204,-304,11940
245649,5.59,7952,-252,12208
245661,5.59,8000,-108,12040
245673,5.18,7884,-336,12264
245685,5.59,8056,-308,11588
245697,5.59,8284,-172,11432
245709,5.59,8208,-300,12128
245721,5.59,8020,-208,12120
245733,5.59,7860,-304,12008
245745,5.59,8192,-288,12088
245757,5.59,8152,-240,11372
245769,5.59,8204,-224,11624
245781,5.59,8020,-264,12348
245793,5.59,7888,-180,12252
245805,5.59,7892,-176,12020
245817,5.59,8172,-304,11752
245829,5.59,8364,-188,11276
245841,5.59,8152,-328,11704
245853,5.59,7868,-308,12304
245865,5.59,7896,-64,11948
245877,5.59,8156,-320,11936
245889,5.59,8248,-304,11564
245901,5.59,8200,-300,11508
245913,5.59,8208,-296,12008
245925,5.59,7912,-164,12156
245937,5.59,7860,-208,11956
245949,5.59,8212,-272,11996
245961,5.59,8244,-200,11612
245973,5.59,8052,-160,11536
245985,5.59,8000,-268,12308
245997,5.61,7988,-144,12032
246009,5.59,7996,-124,11872
246021,5.59,8200,-376,11776
246033,5.59,8220,-156,11628
246045,5.59,8128,-148,11968
246057,5.59,7768,-288,12244
246069,5.59,7976,-180,11940
246081,5.61,8196,-204,11952
246093,5.13,8204,-204,11720
246105,5.59,8044,-196,11536
246117,5.59,8064,-372,11936
246129,5.59,8052,-132,12048
246141,5.59,7960,-208,11840
246153,5.59,8116,-372,11876
246165,5.59,8220,-144,11668
246177,5.13,8152,-192,11876
246189,5.59,7912,-308,12336
246201,5.59,8016,-188,12064
246213,5.59,8140,-204,11884
246225,5.59,8136,-320,11720
246237,5.59,8252,-240,11712
246249,5.59,8084,-244,12080
246261,5.59,7908,-192,12360
246273,5.59,7908,-268,11652
246285,5.59,8164,-212,11752
246297,5.59,8296,-308,11780
246309,5.59,8128,-204,11712
246321,5.59,8076,-320,12284
246333,5.59,8156,-240,12176
246345,5.59,8060,-244,11648
246357,5.59,8216,-396,11824
246369,5.59,8212,-328,11688
246381,5.59,8068,-168,11788
246393,5.59,7936,-288,12304
246405,5.59,7916,-168,11848
246417,5.59,8100,-244,11800
246429,5.59,8256,-300,11776
246441,5.59,8048,-164,11668
246453,5.59,7980,-200,12096
246465,5.59,8088,-268,12368
246477,5.59,8052,-192,11832
246489,5.59,8092,-264,11780
246501,5.59,8224,-272,11592
246513,5.59,8136,-228,11760
246525,5.59,7984,-240,12180
246537,5.59,7976,-324,12096
246549,5.59,8036,-184,11740
246561,5.59,8196,-212,11608
246573,5.18,8148,-248,11772
246585,5.18,8244,-144,11808
246597,5.59,8040,-232,12096
246609,5.59,7984,-212,12032
246621,5.59,8240,-128,11828
246633,5.59,8320,-316,11780
246645,5.59,8068,-304,11680
246657,5.59,7960,-148,11828
246669,5.59,8096,-288,12164
246681,5.59,8096,-228,11804
246693,5.59,8068,-268,11788
246705,5.59,8232,-284,11960
246717,5.59,8136,-148,11612
246729,5.18,7912,-292,12156
246741,5.59,7984,-280,12132
246753,5.59,8156,-204,11648
246765,5.59,8160,-232,11836
246777,5.59,8132,-240,11916
246789,5.59,8140,-248,11868
246801,5.59,8012,-268,12248
246813,5.59,8056,-280,11956
246825,5.59,8084,-304,11696
246837,5.59,8256,-276,11876
246849,5.59,8284,-244,11764
246861,5.59,8020,-224,12052
246873,5.59,8052,-380,12272
246885,5.59,8184,-108,11684
246897,5.59,8132,-296,11624
246909,5.18,8060,-288,11876
246921,5.59,8144,-184,11872
246933,5.59,8084,-232,12232
246945,5.59,7964,-216,12084
246957,5.18,8044,-268,11688
246969,5.59,8224,-284,11808
246981,5.59,8048,-244,11960
246993,5.59,7984,-184,12040
247005,5.18,8040,-232,12044
247017,5.59,8140,-284,11800
247029,5.59,8084,-264,11576
247041,5.59,8088,-308,11860
247053,5.13,8128,-204,11900
247065,5.59,7932,-236,11996
247077,5.18,7920,-284,12020
247089,5.59,8192,-220,11748
247101,5.59,8232,-208,11800
247113,5.59,8144,-312,11980
247125,5.59,8096,-188,12020
247137,5.59,8128,-128,11924
247149,5.59,8000,-220,11976
247161,5.59,8132,-236,11656
247173,5.59,8312,-304,11832
247185,5.59,8108,-184,11884
247197,5.59,8060,-156,11972
247209,5.18,7984,-220,12016
247221,5.59,8156,-196,11860
247233,5.59,8116,-136,11656
247245,5.59,8136,-268,11764
247257,5.59,8144,-232,11864
247269,5.59,7988,-180,12112
247281,5.18,7924,-324,11892
247293,5.59,8264,-268,12012
247305,5.59,8292,-168,11872
247317,5.59,8140,-176,11932
247329,5.59,8028,-200,12000
247341,5.59,8024,-288,12020
247353,5.18,8176,-112,11836
247365,5.59,8124,-268,11644
247377,5.59,8132,-208,11848
247389,5.59,8164,-136,11876
247401,5.59,7996,-164,11932
247413,5.59,8048,-248,12072
247425,5.59,8112,-148,11868
247437,5.59,8216,-200,11636
247449,5.59,8024,-248,12028
