,79.78,9052,-192,11372
253137,5.59,8112,-244,11844
253149,5.59,8080,-264,11864
253161,5.59,8012,-228,11904
253173,5.59,8116,-316,11924
253185,5.59,8032,-244,11800
253197,5.18,7972,-264,11844
253209,5.18,8160,-260,11932
253221,5.59,8160,-172,11876
253233,5.18,8020,-220,11876
253245,5.59,8004,-224,11956
253257,5.59,8028,-200,11904
253269,5.59,8144,-260,11840
253281,5.59,7992,-180,12020
253293,5.18,8184,-188,11844
253305,5.59,8136,-184,11992
253317,5.59,7980,-236,11824
253329,5.59,8080,-236,11940
253341,5.59,8240,-260,11912
253353,5.59,8116,-288,11920
253365,5.59,7976,-208,11912
253377,5.59,8168,-220,11912
253389,5.59,8164,-216,11952
253401,5.59,7992,-248,11804
253413,5.18,8136,-212,11960
253425,5.59,8164,-152,11796
253437,5.59,8132,-212,12036
253449,5.59,8000,-192,12048
253461,5.59,8216,-352,11904
253473,5.59,8176,-244,11900
253485,5.59,8164,-212,12008
253497,5.59,8092,-224,11860
253509,5.59,8140,-268,11968
253521,5.59,7992,-184,11932
253533,5.59,8044,-244,11908
253545,5.59,8116,-264,12016
253557,5.59,8136,-232,11912
253569,5.59,7984,-164,11708
253581,5.61,8112,-244,11904
253593,5.59,8128,-212,11784
253605,5.59,8168,-136,11820
253617,5.59,7984,-300,11980
253629,5.59,8112,-260,12000
253641,5.59,8200,-204,11892
253653,5.59,8052,-200,11936
253665,5.59,8028,-312,11900
253677,5.59,8096,-184,11984
253689,5.59,8072,-252,11832
253701,5.59,7964,-244,11828
253713,5.59,8112,-312,11944
253725,5.59,8148,-168,11876
253737,5.59,8020,-252,11960
253749,5.59,8004,-168,11804
253761,5.59,8180,-116,11864
253773,5.59,8164,-288,11896
253785,5.59,8020,-216,11952
253797,5.59,8076,-204,11864
253809,5.59,8120,-124,11988
253821,5.59,7956,-268,11968
253833,5.59,8068,-336,11900
253845,5.59,8144,-248,11940
253857,5.59,8180,-228,11872
253869,5.59,7976,-252,11880
253881,5.59,8124,-196,11988
253893,5.59,8108,-248,11844
253905,5.13,7956,-224,12080
253917,5.59,8012,-152,11940
253929,5.59,8068,-228,12024
253941,5.59,8088,-124,11976
253953,5.59,7972,-264,11880
253965,5.18,8104,-256,11808
253977,5.18,8160,-132,11916
253989,5.18,8160,-380,11984
254001,5.59,8016,-276,11748
254013,5.59,8176,-196,11916
254025,5.59,8040,-248,11952
254037,5.59,7972,-240,11832
254049,5.59,8104,-112,11868
254061,5.59,8116,-184,11828
254073,5.59,8028,-244,11892
254085,5.59,8044,-272,11908
254097,5.18,8080,-288,11872
254109,5.59,8128,-232,11812
254121,5.59,7984,-332,11804
254133,5.59,8080,-232,11892
254145,5.59,8076,-200,11940
254157,5.59,8136,-324,11824
254169,5.59,7964,-244,11740
254181,5.59,8116,-108,11992
254193,5.59,8168,-192,11992
254205,5.59,8028,-320,11824
254217,5.59,7984,-368,12036
254229,5.59,8136,-116,11892
254241,5.59,8024,-204,11752
254253,5.59,8112,-208,11844
254265,5.59,8196,-252,11864
254277,5.59,8084,-204,11748
254289,5.59,8036,-296,11940
254301,5.59,8072,-200,11932
254313,5.59,8100,-132,11872
254325,5.59,8128,-212,11956
254337,5.59,8264,-216,11792
254349,5.59,8076,-152,11836
254361,5.59,7992,-220,11884
254373,5.59,8028,-208,11900
254385,5.59,8156,-240,11948
254397,5.59,8248,-216,11816
254409,5.59,8064,-180,11968
254421,5.59,8072,-200,11788
254433,5.59,8176,-264,11908
254445,5.61,8060,-240,11852
254457,5.59,7988,-204,12004
254469,5.59,8064,-204,11908
254481,5.59,8136,-176,11956
254493,5.59,8008,-260,11936
254505,5.59,8184,-128,11940
254517,5.59,8224,-248,11960
254529,5.59,8176,-192,11844
254541,5.59,8044,-232,11808
254553,5.59,8036,-312,11860
254565,5.59,8076,-220,11780
254577,5.59,8000,-200,11988
254589,5.18,8128,-212,12120
254601,5.59,8100,-236,11748
254613,5.59,8052,-256,11828
254625,5.59,8144,-148,11908
254637,5.59,8116,-260,11840
254649,5.59,8032,-240,11808
254661,5.59,8156,-204,11924
254673,5.59,8132,-208,11940
254685,5.18,7968,-288,11872
254697,5.18,8144,-208,11896
254709,5.59,8144,-208,11808
254721,5.59,8184,-268,11796
254733,5.59,7984,-264,11804
254745,5.59,8080,-264,11952
254757,5.59,8084,-168,11952
254769,5.59,8048,-276,11808
254781,5.59,7988,-296,11912
254793,5.59,8112,-188,11844
254805,5.59,8188,-232,11932
254817,5.59,8012,-200,11740
254829,5.18,8136,-248,11888
254841,5.59,8160,-200,11940
254853,5.18,7976,-240,11960
254865,5.18,8064,-236,12016
254877,5.59,8112,-316,11932
254889,5.59,8056,-212,11788
254901,5.59,7928,-288,11840
254913,5.59,8064,-220,11836
254925,5.59,8080,-132,11888
254937,5.18,8012,-248,11860
254949,5.59,7924,-280,11904
254961,5.59,8184,-212,11844
254973,5.59,7960,-144,11852
254985,5.59,8080,-280,11880
254997,5.18,8092,-164,11896
255009,5.18,8056,-188,11808
255021,5.59,8004,-312,11848
255033,5.59,8100,-264,11988
255045,5.59,8152,-180,11972
255057,5.59,8084,-248,11900
255069,5.59,8120,-272,11792
255081,5.59,8044,-308,11996
255093,5.59,8092,-252,11804
255105,5.18,8044,-204,11884
255117,5.59,7992,-228,11956
255129,5.18,8148,-288,11824
255141,5.59,8040,-208,11924
255153,5.59,8020,-272,11880
255165,5.59,8068,-280,12136
255177,5.59,8212,-196,11844
255189,5.59,7996,-240,11900
255201,5.18,8000,-316,11836
255213,5.18,8136,-132,11992
255225,5.59,8040,-172,11892
255237,5.59,8084,-276,11956
255249,5.59,8172,-284,11904
255261,5.59,8180,-132,11916
255273,5.18,7984,-208,12008
255285,5.59,8048,-256,11948
255297,5.18,8220,-268,11872
255309,5.59,8096,-264,11848
255321,5.59,8036,-212,11852
255333,5.59,8140,-224,11904
255345,5.59,8148,-184,11884
255357,5.59,8108,-248,12144
255369,5.59,8068,-208,11984
255381,5.59,8116,-244,11904
255393,5.59,8084,-220,12080
255405,5.59,8020,-240,11804
255417,5.18,8004,-312,12008
255429,5.59,8200,-132,11908
255441,5.59,7984,-200,11872
255453,5.59,8032,-376,11992
255465,5.18,8156,-176,11796
255477,5.18,8052,-248,11768
255489,5.18,8036,-260,11996
255501,5.59,8060,-252,11888
255513,5.18,8096,-196,11924
255525,5.18,7972,-268,11956
255537,5.18,8076,-268,11944
255549,5.18,8176,-244,11852
255561,5.59,8024,-216,11932
255573,5.59,8104,-252,11772
255585,5.59,8088,-232,11788
255597,5.18,8164,-184,11932
255609,5.59,8088,-252,11864
255621,5.18,8016,-268,11828
255633,5.59,8088,-144,11956
255645,5.59,8152,-156,11940
255657,5.59,8068,-208,11920
255669,5.59,8128,-228,11920
255681,5.18,8120,-240,12044
255693,5.18,8100,-224,12060
255705,5.18,7936,-332,11884
255717,5.59,8100,-284,11900
255729,5.18,8140,-228,11964
255741,5.18,8048,-196,12004
255753,5.59,8048,-248,12044
255765,5.59,8224,-292,11856
255777,5.18,8032,-144,11856
255789,5.59,8092,-216,11864
255801,5.59,8188,-176,11908
255813,5.59,8096,-240,12120
255825,5.59,7936,-220,11912
255837,5.59,8052,-244,11876
