413636,79.52,8872,-172,11500
413653,79.54,8900,-140,11556
413670,79.51,8920,-152,11420
413687,80.38,8960,-148,11592
413704,79.13,8804,-216,11696
413721,79.13,8872,-188,11488
413738,79.54,8536,-244,11224
413755,79.13,8700,-200,11464
413772,79.51,8740,-244,11496
413789,80.38,8852,-164,11456
413806,79.51,8856,-152,11396
413823,79.13,8740,-152,11472
413840,79.13,8824,-196,11380
413857,79.54,8896,-156,11484
413874,79.52,8864,-108,11468
413891,79.13,8764,-248,11616
413908,79.51,8752,-208,11488
413925,79.52,8696,-260,11596
413942,79.52,8788,-136,11380
413959,79.95,8844,-172,11540
413976,79.54,8816,-152,11560
413993,80.36,8704,-192,11564
414010,79.95,8916,-112,10880
414027,79.51,9108,-104,11692
414044,79.10,8892,-304,11836
414061,80.36,8944,-112,11296
414078,79.51,8600,-288,11544
414095,79.51,8812,-128,11072
414112,80.38,8680,-336,11872
414129,79.97,8608,-32,10940
414146,79.95,8880,-300,11992
414163,79.13,8896,-80,11624
414180,79.10,8836,-264,11940
414197,79.51,8644,-224,11188
414214,79.10,9524,816,12500
414231,79.10,9392,368,11400
414248,79.06,9364,-1100,14328
414265,79.44,5764,568,10700
414282,79.40,5020,-560,11672
414299,79.73,6508,76,10184
414316,79.59,6256,-756,12200
414333,78.96,5924,-76,9148
414350,78.36,6444,-180,9520
414367,78.55,6720,-500,11100
414384,78.70,5764,1204,12032
414401,78.00,7108,-504,10312
414418,77.66,6524,-104,11428
414435,77.33,5284,496,13608
414452,77.33,6584,-700,11668
414469,76.45,6748,-232,11560
414486,75.60,6896,-1040,11784
414503,75.07,6300,-152,10872
414520,74.93,6220,224,11756
414537,75.65,6448,-1320,10824
414554,75.07,5664,-196,12964
414570,73.56,6000,-992,11276
414586,72.53,5996,168,13340
414602,71.40,5840,-420,10888
414618,70.66,5472,-352,11748
414634,70.32,6096,-172,10636
414650,69.95,5868,-168,10312
414666,69.18,5860,-772,11672
414682,67.90,6104,-16,11168
414698,67.01,6020,-284,11128
414714,66.04,6012,208,11236
414730,65.12,6532,-1512,10520
414746,65.43,6292,296,12108
414762,63.59,6032,-1152,10488
414778,61.72,8940,-644,11624
414794,60.63,5688,-1052,11064
414810,59.96,7084,-404,10852
414826,58.81,6132,-608,12276
414841,57.20,6420,-952,10544
414856,56.49,6632,-272,11808
414871,56.65,6028,-568,11072
414886,55.46,6180,56,12104
414901,54.69,5820,-656,11204
414916,55.19,5968,-404,11956
414931,53.97,5892,-656,11620
414949,106.96,6528,176,11820
414968,110.17,6364,-296,11980
414987,110.94,6384,-264,11660
415008,148.76,6656,-352,11584
415026,103.57,6376,-240,13200
415044,103.50,5804,-276,14284
415058,37.25,6508,-444,11148
415072,35.19,7136,-992,11428
415086,34.39,4448,-140,13900
415100,32.69,5700,-332,10944
415114,31.38,6020,-612,12476
415128,30.51,6232,-568,12004
415142,29.19,7204,-1036,10832
415156,27.85,5804,-828,12752
415170,26.91,6400,132,11380
415184,25.12,6120,-804,12872
415198,23.74,6556,-952,12452
415211,22.35,7012,-436,12028
415224,21.01,6512,464,12384
415237,20.56,6820,-244,12380
415250,17.94,7016,-640,11568
415263,17.00,5756,-892,12524
415276,15.21,6108,-484,12896
415289,13.41,6656,-408,12152
415302,12.90,6636,-308,12192
415315,11.46,6556,-456,11940
415328,8.37,7344,-544,11384
415341,7.85,6512,-216,12064
415354,7.70,7264,-232,11780
415366,4.61,9608,4488,15724
415378,4.05,32767,-18468,-32768
415390,4.15,32767,27988,32767
415403,6.36,32767,-3136,18220
415415,4.61,18220,-3072,-5760
415427,4.61,-9752,1252,2232
415439,4.51,-16248,1924,5764
415452,6.88,-15516,1308,15032
415464,5.69,-19844,-6416,32767
415476,6.05,5976,-3800,12548
415489,6.41,6472,-372,6928
415501,4.61,8860,1216,13000
415513,4.15,11864,1196,17000
415525,4.58,14252,-1948,14268
415537,4.56,3980,432,19284
415549,4.56,6740,-2036,6692
415561,4.56,11976,-584,11124
415573,4.56,5260,568,10160
415585,4.56,8156,-664,13360
415597,4.56,8932,-752,11736
415609,4.15,7848,296,12068
415621,4.15,7012,44,11068
415633,4.15,8056,-448,13464
415645,4.15,8004,-448,11364
415657,4.15,7388,-316,12876
415669,4.15,7304,-28,12660
415681,4.15,8064,-380,11356
415693,4.15,8112,-372,12320
415705,4.15,7760,92,11652
415717,4.15,8040,88,10576
415729,4.15,8268,-500,13472
415741,4.15,7500,-48,12092
415753,4.17,7132,-60,12308
415765,4.17,7904,-464,12152
415777,4.15,8176,-416,11200
415789,4.15,7700,-112,11744
415801,4.15,7620,-288,12696
415813,4.15,7924,-208,12172
415825,4.15,7904,-188,11932
415837,4.15,7644,-216,11696
415849,4.15,7728,-360,12012
415861,4.15,7888,-248,12052
415873,4.15,7624,-384,12496
415885,4.17,7780,-136,11996
415897,4.15,8164,-236,11732
415909,4.15,8076,-364,11744
415921,4.15,7720,-212,11728
415933,4.15,7852,-356,12168
415945,4.15,7884,-272,12252
415957,4.15,7824,-284,12044
415969,4.15,7788,-264,12060
415981,4.17,8088,-184,11660
415993,4.15,7936,-296,11972
416005,4.15,7996,-240,11892
416017,4.17,7824,-176,12112
416029,4.15,7740,-112,12376
416041,4.15,7724,-212,12012
416053,4.15,7780,-168,11728
416065,4.15,8012,-80,11800
416077,4.15,7868,-148,12268
416089,4.15,7744,-216,12232
416101,4.15,7668,-104,12184
416113,4.15,7808,-200,12008
416125,4.15,7896,-284,11844
416137,4.15,7764,-128,11632
416149,4.15,7804,-208,12372
416161,4.15,7972,-160,12008
416173,4.15,7656,-108,12004
416185,4.15,7864,-264,11992
416197,4.15,7908,-260,11712
416209,4.15,7812,-240,11696
416221,4.15,7776,-200,12304
416233,4.17,7872,-128,12000
416245,4.15,7896,-248,12188
416257,4.15,7864,-316,11952
416269,4.15,7852,-264,11716
416281,4.15,8040,-204,11988
416293,4.15,7860,-308,12488
416305,4.17,7652,-168,11992
416317,4.15,7856,-176,12112
416329,4.15,7700,-264,11868
416341,4.15,7808,-360,11724
416353,4.15,7916,-196,11992
416365,4.17,7972,-160,12052
416377,4.15,7700,-184,12280
416389,4.15,7828,-220,12088
416401,4.15,8044,-272,11712
416413,4.15,7872,-224,11772
416425,4.17,7768,-232,11852
416437,4.15,7864,-292,12208
416449,4.15,7872,-212,12108
416461,4.15,7932,-252,12192
416473,4.15,7884,-224,11844
416485,4.15,7856,-244,11804
416497,4.15,7976,-236,11924
416509,4.15,7724,-280,12216
416521,4.15,7820,-236,12308
416533,4.17,7904,-280,12128
416545,4.15,7856,-232,11972
416557,4.15,7816,-256,11740
416569,4.15,7952,-192,12020
416581,4.15,7872,-196,12240
416593,4.15,7564,-176,12032
416605,4.15,7768,-288,12208
416617,4.15,8000,-284,11892
416629,4.15,7840,-188,11632
416641,4.15,7752,-284,12016
416653,4.15,7904,-292,12216
416665,4.15,7840,-232,11948
416677,4.15,7848,-276,12176
416689,4.15,7916,-320,11832
416701,4.15,7976,-240,11688
416713,4.15,7924,-248,12136
416725,4.15,7708,-296,11964
416737,4.15,7896,-96,12096
416749,4.15,7872,-280,12208
416761,4.15,7760,-292,11832
416773,4.15,7972,-296,11904
416785,4.17,8076,-304,12124
416797,4.15,7856,-216,11992
416809,4.15,7804,-276,12100
416821,4.15,7840,-256,12068
416833,4.15,7944,-320,11664
416845,4.15,7908,-292,11992
416857,4.15,7836,-220,11984
416869,4.15,7972,-172,12176
416881,4.15,7776,-228,12112
416893,4.15,7812,-372,11932
416905,4.17,7956,-228,11892
416917,4.13,7896,-272,11932
416929,4.15,7700,-256,11916
416941,4.15,7768,-200,12256
416953,4.15,7808,-152,11992
416965,4.15,7900,-196,11976
416977,4.15,7860,-252,11916
416989,4.15,8064,-196,11932
417001,4.15,7924,-148,12120
417013,4.15,7820,-304,12364
417025,4.15,7932,-100,12000
417037,4.15,7904,-232,12136
417049
