506158,80.09,8968,-400,11468
506175,80.06,8916,-424,11320
506192,80.06,8932,-248,11316
506209,79.68,9024,-440,11636
506226,80.50,9064,-252,11408
506243,79.66,8952,-328,11380
506260,80.52,9080,-316,11580
506277,79.68,8856,-316,11508
506294,79.66,8896,-352,11224
506311,80.04,8928,-388,11356
506328,79.66,8740,-356,11432
506345,79.66,8964,-396,11316
506362,80.50,8968,-292,11332
506379,79.66,9008,-248,11064
506396,79.68,9128,-316,11404
506413,79.66,8856,-336,11232
506430,79.68,9056,-352,11540
506447,79.66,8960,-428,11516
506464,79.70,8932,-368,11600
506481,79.70,8968,-280,11636
506498,80.09,8896,-380,11352
506515,80.09,8896,-308,11292
506532,79.70,9024,-340,11492
506549,80.07,9096,-204,11376
506566,80.11,9088,-264,11476
506583,80.07,8996,-320,11292
506600,80.54,8972,-364,11084
506617,80.95,9044,-340,11604
506634,80.52,8940,-308,11400
506651,79.68,8924,-292,11340
506668,80.93,8940,-340,11652
506685,80.52,8996,-288,11660
506702,79.66,9036,-288,11852
506719,79.64,9044,-336,12304
506736,79.64,8720,-636,11876
506753,79.63,8872,-420,11984
506770,80.43,8368,-360,11896
506787,80.40,8852,-64,10868
506804,79.52,7776,-44,10748
506821,79.47,7784,964,7692
506838,79.88,7460,1208,11356
506855,79.44,6976,128,9860
506872,79.76,2036,-2028,12992
506889,79.25,4800,-508,10576
506906,79.90,5268,-664,11884
506923,78.79,5032,-440,11328
506940,78.50,3808,-620,10888
506957,78.08,5532,-368,12548
506974,77.64,6016,-340,10760
506991,77.16,5864,-460,10264
507008,76.18,4868,-176,12352
507025,76.44,6400,-828,12324
507042,75.77,7388,-32,11324
507059,75.12,7176,-524,10940
507075,74.02,7208,-476,11796
507091,72.90,6928,-268,11424
507107,72.17,8116,-536,10612
507123,71.46,8120,-624,11020
507139,71.57,8528,-440,12160
507155,70.83,8872,-340,11624
507171,70.52,8756,-776,10976
507187,69.39,8956,128,11480
507203,67.86,9896,-968,11460
507219,67.54,12196,-2900,11832
507235,66.89,13028,-3572,11740
507251,66.23,10752,-928,11332
507267,65.67,10720,-76,10144
507283,65.92,10132,-56,10992
507299,64.91,7492,-424,12344
507315,65.15,8148,-924,10584
507331,64.14,8396,-488,14004
507347,62.67,9520,-1044,11168
507363,62.48,10352,-168,11000
507379,61.02,10392,-736,12532
507395,60.45,10296,-524,11532
507411,59.90,9604,-380,11368
507427,59.37,8872,-1212,12260
507443,59.70,9304,-2660,10164
507459,59.20,7996,-816,12968
507475,58.26,10832,-2016,10184
507491,58.16,8420,-1460,13456
507507,57.69,10620,-1268,10700
507522,57.21,9516,-1572,14168
507537,56.82,12180,248,8472
507552,56.39,8380,-1296,14904
507567,55.96,6352,1520,12800
507582,55.57,10080,-184,6616
507597,55.58,9276,-1460,9492
507612,55.17,6240,-92,11648
507627,54.79,7036,996,12588
507642,55.67,11012,488,9912
507657,55.27,7416,860,13128
507672,55.31,8368,-916,12768
507687,55.38,8660,-976,9992
